138|1|0.02|0.98
908|1|0.02|0.96
1053|1|0.02|0.95
1081|1|0.02|0.97
1322|1|0.03|0.96
2082|1|0.02|0.96
2973|1|0.02|0.96
4834|1|0.02|0.97
4944|1|0.03|0.99
7443|1|0.02|1.0
7446|1|0.02|0.98
8429|1|0.02|0.95
8070|1285|0.02|0.98
7446|4782|0.02|0.98
274 1010|1|0.02|0.96
274 4834|1|0.02|0.97
1010 326|1|0.02|0.97
649 1010|1|0.02|0.97
649 4834|1|0.02|1.0
1010 1285|1|0.02|0.99
1010 4834|1|0.02|0.98
1 3533|1285|0.02|0.97
1 4834|1285|0.02|0.97
4834 1285|1|0.02|1.0
4355 4782|1|0.02|0.97
4355 7443|1|0.02|1.0
7443 4782|1|0.02|1.0
7446|1 4782|0.02|0.96
1 7446|4782|0.02|0.98
4782 7446|1|0.02|0.98
436 14|3850|0.02|0.98
3533 15|1285|0.02|0.98
3850 436|1774|0.02|0.95
436 1774|3850|0.02|0.98
4000 436|1774|0.02|0.97
4000 436|3850|0.02|0.98
649 4834|1285|0.02|0.98
4000 1950|1774|0.02|0.98
144 649 1285|1|0.02|0.98
274 1010 1285|1|0.02|0.98
1 274 4834|1285|0.02|0.98
274 1285 4834|1|0.02|1.0
649 1010 1285|1|0.02|0.98
649 4834|1 1285|0.02|0.98
1 649 4834|1285|0.02|0.98
649 4834 1285|1|0.02|1.0
436 1774 14|3850|0.02|0.98
4000 3850 436|1774|0.02|0.97
4000 436 1774|3850|0.02|0.98
